"ID","CF_theta","PW_theta","BW_theta","CF_alpha","PW_alpha","BW_alpha","CF_beta","PW_beta","BW_beta","offset","exponent","r2s","err","CF_1","PW_1","BW_1","CF_2","PW_2","BW_2","CF_3","PW_3","BW_3","CF_4","PW_4","BW_4","CF_5","PW_5","BW_5","CF_6","PW_6","BW_6"
201,7.51184122606694,0.459555207454428,1.46831465191004,9.95657050006545,0.398405246129603,1.37983358487094,14.9271396323059,0.344811279610765,7.46815263337774,1.7576818682983,1.70317289202863,0.995881305785936,0.0266083914811089,7.51184122606694,0.459555207454428,1.46831465191004,9.95657050006545,0.398405246129603,1.37983358487094,14.9271396323059,0.344811279610765,7.46815263337774,32.5318988335074,0.541807148083359,1.64981374765398,NA,NA,NA,NA,NA,NA
202,NA,NA,NA,11.1270361849511,0.314356450353379,1.16415426909731,NA,NA,NA,1.35069566263845,1.51285769908524,0.993951397829107,0.0268730086585097,11.1270361849511,0.314356450353379,1.16415426909731,12.2622106090502,0.143262528001632,4.20969622487686,32.2229657861933,0.292538434393386,1.8252788020943,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,NA,NA,NA,9.23751244596374,1.02796236703011,2.68983290639626,20.9261466974159,0.308993746948863,1.28354207756367,1.64226913563066,1.71837868431707,0.994256036988302,0.0352145978561138,9.23751244596374,1.02796236703011,2.68983290639626,10.7673445784354,0.797409455050232,1,13.1159256258294,0.263733548274174,2.76149152138619,17.8470413148349,0.254889160359984,7.71187872542161,20.9261466974159,0.308993746948863,1.28354207756367,32.572602809013,0.458666414514902,1.57197678947105
204,7.2072777792184,0.107604585718719,1.03260127023669,NA,NA,NA,22.0592465344056,0.221419596969753,3.83994723870666,1.35153105323503,1.41654143541328,0.996232252930579,0.0214798704351442,7.2072777792184,0.107604585718719,1.03260127023669,13.6168506419309,0.188981979221934,5.01906846967157,22.0592465344056,0.221419596969753,3.83994723870666,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,NA,NA,NA,9.33633132313396,0.482262493120759,2.31293174362615,20.8758188261272,0.230821248491519,4.56141695237196,1.64075629084218,1.74722686467057,0.997051309729527,0.0245142572586364,9.33633132313396,0.482262493120759,2.31293174362615,13.0235034473551,0.18042505304715,5.68505828610009,20.8758188261272,0.230821248491519,4.56141695237196,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,NA,NA,NA,9.89378133606973,0.913896326310638,2.44337409473947,29.5729956264965,0.277274687681615,1.70645765866872,1.65526952488012,1.8733050962919,0.996350372160899,0.0240941222399403,9.89378133606973,0.913896326310638,2.44337409473947,12.5944660320285,0.361178692301309,1.32087817941578,14.3315730334676,0.235734229711097,1.92155193087684,18.5206265563899,0.225244815977906,4.02920694014721,29.5729956264965,0.277274687681615,1.70645765866872,NA,NA,NA
207,NA,NA,NA,8.84855701736738,0.619859393891298,1.23766416136201,19.1702666750927,0.242806805401222,7.07929013672859,1.47869498136552,1.52042976529215,0.99288467433251,0.0312191817574238,8.84855701736738,0.619859393891298,1.23766416136201,10.8727813099376,0.350271251678761,1.34176102760178,19.1702666750927,0.242806805401222,7.07929013672859,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,NA,NA,NA,10.3467084478593,0.846440180840144,2.329939918666,21.010518317679,0.140616735580996,3.57489389085537,1.13284168894676,1.31321691823105,0.995741543242441,0.0226406816886099,10.3467084478593,0.846440180840144,2.329939918666,21.010518317679,0.140616735580996,3.57489389085537,28.8553704873174,0.118594929912485,1.22124798249468,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,NA,NA,NA,9.00057795133057,0.967447970395101,2.40787719577063,16.8742370205105,0.210269735648674,4.66710323243357,1.44437705263012,1.50245492247468,0.992768380601817,0.0369719858577988,9.00057795133057,0.967447970395101,2.40787719577063,16.8742370205105,0.210269735648674,4.66710323243357,38.5949723900198,0.142063074328465,2.77258721869088,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,7.00276392496644,0.315744989556654,1.22854783574433,9.3023830846047,0.184560938083331,1.73295817646955,15.469783691515,0.170204406875648,4.45562342473726,1.18033322672284,1.49497193167369,0.996035743672179,0.0197433242807149,4.68016509279787,0.0945251603349085,1,7.00276392496644,0.315744989556654,1.22854783574433,9.3023830846047,0.184560938083331,1.73295817646955,15.469783691515,0.170204406875648,4.45562342473726,31.9212394490734,0.32335643412185,1.25013851530058,NA,NA,NA
211,NA,NA,NA,9.55147820205406,0.410458765773108,2.9718714771168,13.7290540795359,0.241012306944773,5.24697649722643,1.61956490660543,1.74324448012525,0.997795732937537,0.01992862342242,9.55147820205406,0.410458765773108,2.9718714771168,13.7290540795359,0.241012306944773,5.24697649722643,19.5309209965448,0.114122256692458,1.27712162374508,30.7214532262916,0.116924393866822,1.42087332019124,NA,NA,NA,NA,NA,NA
212,NA,NA,NA,8.43040602203532,0.403612526472221,2.78167698073602,NA,NA,NA,1.01189752778928,1.35173956193954,0.985624910913802,0.0402914513133767,8.43040602203532,0.403612526472221,2.78167698073602,31.9510095868108,0.547762976856921,1.31526616910869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,6.80610670287448,0.192337629098253,3.72271348616983,10.3148954018563,0.620881928409388,1.26038384946885,NA,NA,NA,1.32162721951591,1.41102438118029,0.989977739338075,0.0409552884252352,6.80610670287448,0.192337629098253,3.72271348616983,10.3148954018563,0.620881928409388,1.26038384946885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
