"ID","GRP","CF_theta","PW_theta","BW_theta","CF_alpha","PW_alpha","BW_alpha","CF_beta","PW_beta","BW_beta","offset","exponent","r2s","err","CF_1","PW_1","BW_1","CF_2","PW_2","BW_2","CF_3","PW_3","BW_3","CF_4","PW_4","BW_4","CF_5","PW_5","BW_5","CF_6","PW_6","BW_6"
224,"BI",NA,NA,NA,9.65497307400621,1.17505239942959,2.2900801423293,19.1906119796017,0.239579867530572,2.37758167458316,1.33475015497895,1.31536149865118,0.993627837957051,0.0309422170087022,9.65497307400621,1.17505239942959,2.2900801423293,19.1906119796017,0.239579867530572,2.37758167458316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,"BI",NA,NA,NA,10.4446174222546,0.824624578221632,5.03740072897528,19.0959308017023,0.245913103790804,7.99999999999998,2.02514773356358,1.9063699562742,0.990405251814816,0.0522018406399163,10.4446174222546,0.824624578221632,5.03740072897528,19.0959308017023,0.245913103790804,7.99999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,"BI",NA,NA,NA,10.5174456783462,1.55520149597881,1.27146996873664,20.3845191025274,0.214959625376812,2.66028026842017,1.6668549881175,1.48679301793629,0.985697351756721,0.054237650060732,8.0716359225213,0.584995401470173,1.39985130673572,10.5174456783462,1.55520149597881,1.27146996873664,20.3845191025274,0.214959625376812,2.66028026842017,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,"BN",7.61274598622197,0.616060605931167,1.6151356279388,9.44490189078449,1.22408457020067,1.61433155308036,18.6061639677206,0.15683798165669,2.51594513741879,1.33232269159083,1.39048962125597,0.997280044629001,0.0229573005984014,7.61274598622197,0.616060605931167,1.6151356279388,9.44490189078449,1.22408457020067,1.61433155308036,16.2862375382018,0.125764349387738,1.67275225838486,18.6061639677206,0.15683798165669,2.51594513741879,NA,NA,NA,NA,NA,NA
228,"BI",NA,NA,NA,10.3519766084402,0.997913041559888,1.83822984578465,19.6536943310272,0.310974349163387,5.7525166067491,1.47962210644032,1.81118725168039,0.995236396303044,0.0316272740218314,8.03640892578384,0.302376996739483,1.96038064319685,10.3519766084402,0.997913041559888,1.83822984578465,15.6633442912331,0.154093863623556,1,19.6536943310272,0.310974349163387,5.7525166067491,NA,NA,NA,NA,NA,NA
229,"BN",NA,NA,NA,8.77386982412686,1.26273525246864,2.38428499517588,16.4393681617791,0.247731420446166,6.94247214046298,1.74701277609397,1.84888817356524,0.994269974089013,0.0380242488417067,8.77386982412686,1.26273525246864,2.38428499517588,16.4393681617791,0.247731420446166,6.94247214046298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,"BI",NA,NA,NA,10.4152171029229,1.5305377628455,1.18275963043907,NA,NA,NA,1.47608630314431,1.52216888797763,0.987495172275721,0.0593723948353758,8.54567748884932,0.897417297303205,1.69789865909715,10.4152171029229,1.5305377628455,1.18275963043907,10.8346405694174,1.13243227930928,3.98922540562547,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,"BN",NA,NA,NA,9.50227486763675,0.581557907323344,2.31609765366016,13.2038427148149,0.396215001010977,3.87128717881808,1.70519316154199,1.81964128634214,0.993076261248916,0.0355818983091631,9.50227486763675,0.581557907323344,2.31609765366016,13.2038427148149,0.396215001010977,3.87128717881808,19.2208664141174,0.119393818401982,2.44418297870018,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,"BN",NA,NA,NA,10.4951514169116,0.810516828252476,1.70394563966151,18.9741182111379,0.0841893967985778,6.32113919223087,1.14003340422639,1.44249604305756,0.996415226701282,0.0239713317792067,8.77412725500093,0.392846729588118,1.71037792269686,10.4951514169116,0.810516828252476,1.70394563966151,18.9741182111379,0.0841893967985778,6.32113919223087,30.9565476510438,0.163336187119127,1,NA,NA,NA,NA,NA,NA
233,"BN",NA,NA,NA,10.0548694196531,0.504365556552099,1.08030195282986,17.7582824000843,0.156212784711019,1,1.4433502704613,1.58519729851649,0.996333977041759,0.024367565925066,8.05811352452831,0.367162015815021,2.06026118097739,10.0548694196531,0.504365556552099,1.08030195282986,12.8078457148804,0.297445125732265,4.52564133863556,17.7582824000843,0.156212784711019,1,19.9461008722928,0.122331478111475,2.48743749557603,NA,NA,NA
234,"BN",NA,NA,NA,9.46211580814397,1.1805271328934,2.78360830227945,19.3192387914736,0.331408381856964,2.65738613474591,1.65912048750852,1.62111797233145,0.984386532124696,0.0587382759805428,9.46211580814397,1.1805271328934,2.78360830227945,19.3192387914736,0.331408381856964,2.65738613474591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,"BN",6.81794209940496,0.440272957691129,2.18069781719844,9.06793925057984,1.1967160435174,1.40634695301594,18.3911083676503,0.126722994081317,2.64478522772213,1.59332377161619,1.67180568191722,0.9961635975731,0.027305873060628,6.81794209940496,0.440272957691129,2.18069781719844,9.06793925057984,1.1967160435174,1.40634695301594,10.6771411805562,0.618282773056688,1.52533280862295,18.3911083676503,0.126722994081317,2.64478522772213,NA,NA,NA,NA,NA,NA
236,"BI",5.52470146806568,0.169680467058643,1.52725655932149,NA,NA,NA,13.5186672711383,0.211176654318977,3.05950114719971,1.25321857568629,1.41122083345983,0.994753453008222,0.0236694168156106,5.52470146806568,0.169680467058643,1.52725655932149,13.5186672711383,0.211176654318977,3.05950114719971,18.7026018709775,0.11679904609716,7.03382488262904,30.5758827196945,0.218374195622487,1.13082821040161,NA,NA,NA,NA,NA,NA
237,"BI",7.18322189330292,0.189686394995128,1.00000000000009,9.87795755341464,0.906815262069804,2.58791088049873,19.4934062662991,0.268194371427234,6.74288088288854,1.53263845079919,1.86291081594428,0.995068018294135,0.0337339227775832,7.18322189330292,0.189686394995128,1.00000000000009,9.87795755341464,0.906815262069804,2.58791088049873,19.4934062662991,0.268194371427234,6.74288088288854,25.3763160085708,0.157694581450718,3.80615528123962,NA,NA,NA,NA,NA,NA
238,"BN",7.09545582644276,0.181019549038087,1.85484101863769,9.90720611210209,0.892958701771594,1.70445357905454,19.6147867575519,0.101476606299224,2.56217884274876,0.977191281984442,1.17219815331562,0.99253635068188,0.0286873902659144,7.09545582644276,0.181019549038087,1.85484101863769,9.90720611210209,0.892958701771594,1.70445357905454,19.6147867575519,0.101476606299224,2.56217884274876,NA,NA,NA,NA,NA,NA,NA,NA,NA
